date,time,activity,start_time
2019-05-01,00:15,prep,2019-05-01 05:20:00
2019-05-01,01:00,math,2019-05-01 05:35:00
2019-05-01,00:10,pause,2019-05-01 06:35:00
2019-05-01,01:00,math,2019-05-01 06:45:00
2019-05-01,01:30,music,2019-05-01 07:45:00
2019-05-01,01:38,uni,2019-05-01 09:15:00
2019-05-01,00:17,music,2019-05-01 10:53:00
2019-05-01,00:33,cook,2019-05-01 11:10:00
2019-05-01,01:01,eat,2019-05-01 11:43:00
2019-05-01,00:31,math,2019-05-01 12:44:00
2019-05-01,00:30,sleep,2019-05-01 13:15:00
2019-05-01,03:20,prep,2019-05-01 13:45:00
2019-05-01,00:42,prep,2019-05-01 17:05:00
2019-05-01,00:43,sleep,2019-05-01 17:47:00
2019-05-01,00:48,pause,2019-05-01 18:30:00
2019-05-01,01:27,prep,2019-05-01 19:18:00
2019-05-01,00:30,math,2019-05-01 20:45:00
2019-05-01,00:15,pause,2019-05-01 21:15:00
2019-05-01,00:30,math,2019-05-01 21:30:00
2019-05-01,00:45,eat,2019-05-01 22:00:00
2019-05-01,00:10,music,2019-05-01 22:45:00
2019-05-01,00:05,prep,2019-05-01 22:55:00
2019-05-01,10:30,sleep,2019-05-01 23:00:00
2019-05-02,00:40,prep,2019-05-02 09:30:00
2019-05-02,02:50,uni,2019-05-02 10:10:00
2019-05-02,00:40,prep,2019-05-02 13:00:00
2019-05-02,00:10,cook,2019-05-02 13:40:00
2019-05-02,01:05,eat,2019-05-02 13:50:00
2019-05-02,02:07,math,2019-05-02 14:55:00
2019-05-02,00:18,music,2019-05-02 17:02:00
2019-05-02,00:31,pause,2019-05-02 17:20:00
2019-05-02,01:03,math,2019-05-02 17:51:00
2019-05-02,00:31,cook,2019-05-02 18:54:00
2019-05-02,00:43,math,2019-05-02 19:25:00
2019-05-02,01:22,eat,2019-05-02 20:08:00
2019-05-02,01:45,math,2019-05-02 21:30:00
2019-05-02,00:10,prep,2019-05-02 23:15:00
2019-05-02,00:39,music,2019-05-02 23:25:00
2019-05-02,01:01,math,2019-05-03 00:04:00
2019-05-02,00:15,prep,2019-05-03 01:05:00
2019-05-02,05:55,sleep,2019-05-03 01:20:00
2019-05-03,01:15,prep,2019-05-03 07:15:00
2019-05-03,00:45,uni,2019-05-03 08:30:00
2019-05-03,02:20,prep,2019-05-03 09:15:00
2019-05-03,02:00,sleep,2019-05-03 11:35:00
2019-05-03,00:15,prep,2019-05-03 13:35:00
2019-05-03,00:21,cook,2019-05-03 13:50:00
2019-05-03,00:59,eat,2019-05-03 14:11:00
2019-05-03,05:00,uni,2019-05-03 15:10:00
2019-05-03,00:10,music,2019-05-03 20:10:00
2019-05-03,00:35,cook,2019-05-03 20:20:00
2019-05-03,00:58,eat,2019-05-03 20:55:00
2019-05-03,00:52,pause,2019-05-03 21:53:00
2019-05-03,00:15,meditation,2019-05-03 22:45:00
2019-05-03,10:15,sleep,2019-05-03 23:00:00
2019-05-04,00:52,prep,2019-05-04 09:15:00
2019-05-04,03:38,uni,2019-05-04 10:07:00
2019-05-04,00:45,math,2019-05-04 13:45:00
2019-05-04,00:17,cook,2019-05-04 14:30:00
2019-05-04,01:04,eat,2019-05-04 14:47:00
2019-05-04,02:49,uni,2019-05-04 15:51:00
2019-05-04,00:32,prep,2019-05-04 18:40:00
2019-05-04,01:45,math,2019-05-04 19:12:00
2019-05-04,01:03,cook,2019-05-04 20:57:00
2019-05-04,01:00,eat,2019-05-04 22:00:00
2019-05-04,00:15,prep,2019-05-04 23:00:00
2019-05-04,00:15,meditation,2019-05-04 23:15:00
2019-05-04,06:52,sleep,2019-05-04 23:30:00
2019-05-05,02:08,prep,2019-05-05 06:22:00
2019-05-05,03:47,uni,2019-05-05 08:30:00
2019-05-05,00:33,music,2019-05-05 12:17:00
2019-05-05,00:17,cook,2019-05-05 12:50:00
2019-05-05,00:53,eat,2019-05-05 13:07:00
2019-05-05,01:30,uni,2019-05-05 14:00:00
2019-05-05,00:19,prep,2019-05-05 15:30:00
2019-05-05,01:26,prep,2019-05-05 15:49:00
2019-05-05,02:45,math,2019-05-05 17:15:00
2019-05-05,00:30,prep,2019-05-05 20:00:00
2019-05-05,00:27,music,2019-05-05 20:30:00
2019-05-05,00:38,prep,2019-05-05 20:57:00
2019-05-05,01:25,eat,2019-05-05 21:35:00
2019-05-05,00:20,meditation,2019-05-05 23:00:00
2019-05-05,08:26,sleep,2019-05-05 23:20:00
2019-05-06,01:44,prep,2019-05-06 07:46:00
2019-05-06,03:30,uni,2019-05-06 09:30:00
2019-05-06,01:00,eat,2019-05-06 13:00:00
2019-05-06,00:20,prep,2019-05-06 14:00:00
2019-05-06,01:20,uni,2019-05-06 14:20:00
2019-05-06,00:30,music,2019-05-06 15:40:00
2019-05-06,01:39,prep,2019-05-06 16:10:00
2019-05-06,02:03,math,2019-05-06 17:49:00
2019-05-06,00:22,music,2019-05-06 19:52:00
2019-05-06,00:31,cook,2019-05-06 20:14:00
2019-05-06,00:40,pause,2019-05-06 20:45:00
2019-05-06,01:40,eat,2019-05-06 21:25:00
2019-05-06,06:55,sleep,2019-05-06 23:05:00
2019-05-07,02:30,prep,2019-05-07 06:00:00
2019-05-07,03:37,uni,2019-05-07 08:30:00
2019-05-07,00:57,music,2019-05-07 12:07:00
2019-05-07,00:30,cook,2019-05-07 13:04:00
2019-05-07,00:56,eat,2019-05-07 13:34:00
2019-05-07,01:45,sleep,2019-05-07 14:30:00
2019-05-07,00:10,prep,2019-05-07 16:15:00
2019-05-07,03:05,math,2019-05-07 16:25:00
2019-05-07,00:40,prep,2019-05-07 19:30:00
2019-05-07,00:30,cook,2019-05-07 20:10:00
2019-05-07,01:10,eat,2019-05-07 20:40:00
2019-05-07,00:40,pause,2019-05-07 21:50:00
2019-05-07,00:30,meditation,2019-05-07 22:30:00
2019-05-07,06:44,sleep,2019-05-07 23:00:00
2019-05-08,00:31,prep,2019-05-08 05:44:00
2019-05-08,01:30,math,2019-05-08 06:15:00
2019-05-08,00:50,pause,2019-05-08 07:45:00
2019-05-08,00:40,prep,2019-05-08 08:35:00
2019-05-08,00:45,math,2019-05-08 09:15:00
2019-05-08,00:30,prep,2019-05-08 10:00:00
2019-05-08,00:30,math,2019-05-08 10:30:00
2019-05-08,00:55,sleep,2019-05-08 11:00:00
2019-05-08,00:20,cook,2019-05-08 11:55:00
2019-05-08,01:03,eat,2019-05-08 12:15:00
2019-05-08,01:15,math,2019-05-08 13:18:00
2019-05-08,00:43,prep,2019-05-08 14:33:00
2019-05-08,02:44,work,2019-05-08 15:16:00
2019-05-08,01:00,special,2019-05-08 18:00:00
2019-05-08,01:09,prep,2019-05-08 19:00:00
2019-05-08,00:33,cook,2019-05-08 20:09:00
2019-05-08,02:43,eat,2019-05-08 20:42:00
2019-05-08,07:35,sleep,2019-05-08 23:25:00
2019-05-09,02:00,prep,2019-05-09 07:00:00
2019-05-09,02:40,uni,2019-05-09 09:00:00
2019-05-09,00:38,music,2019-05-09 11:40:00
2019-05-09,00:12,cook,2019-05-09 12:18:00
2019-05-09,00:39,eat,2019-05-09 12:30:00
2019-05-09,01:21,uni,2019-05-09 13:09:00
2019-05-09,00:30,prep,2019-05-09 14:30:00
2019-05-09,02:35,work,2019-05-09 15:00:00
2019-05-09,02:30,math,2019-05-09 17:35:00
2019-05-09,01:45,pause,2019-05-09 20:05:00
2019-05-09,01:05,cook,2019-05-09 21:50:00
2019-05-09,00:35,pause,2019-05-09 22:55:00
2019-05-09,07:00,sleep,2019-05-09 23:30:00
2019-05-10,00:40,prep,2019-05-10 06:30:00
2019-05-10,01:30,work,2019-05-10 07:10:00
2019-05-10,01:20,prep,2019-05-10 08:40:00
2019-05-10,02:00,math,2019-05-10 10:00:00
2019-05-10,00:36,prep,2019-05-10 12:00:00
2019-05-10,00:25,cook,2019-05-10 12:36:00
2019-05-10,01:59,eat,2019-05-10 13:01:00
2019-05-10,01:45,sleep,2019-05-10 15:00:00
2019-05-10,00:55,prep,2019-05-10 16:45:00
2019-05-10,02:20,work,2019-05-10 17:40:00
2019-05-10,00:15,prep,2019-05-10 20:00:00
2019-05-10,01:23,music,2019-05-10 20:15:00
2019-05-10,00:52,pause,2019-05-10 21:38:00
2019-05-10,00:45,pause,2019-05-10 22:30:00
